Disease,Protein
D107320,P37231
D107320,P02749
D107550,P01189
D107650,P25101
D109100,P00738
D109100,P40763
D109100,P02489
D109100,P61812
D109100,Q9HAT2
D109100,P02776
D109100,P05231
D109100,Q9GZX7
D109100,P21580
D109100,P04035
D109100,P22087
D109100,P05112
D109100,P29965
D109100,P43320
D109100,P10747
D109100,P61769
D109100,P01033
D109100,Q9Y2R2
D109100,P02790
D109100,P49682
D109100,P38646
D109100,P04179
D109100,P01579
D109100,P09871
D109100,P07202
D109100,Q16552
D109100,Q96EB6
D109100,P18564
D109100,P08727
D109100,P31994
D109100,P19438
D109100,Q13702
D109100,P18146
D109100,P43489
D109100,P16284
D109100,P25445
D109200,P10275
D109200,P10644
D109200,P42898
D109200,P11473
D109200,P26651
D109200,O00220
D109200,Q8IUH4
D109200,P09874
D109200,P61586
D109200,P06850
D109200,Q8IYB8
D109200,P31213
D109350,P10145
D109350,P80404
D109350,P35354
D109350,P20366
D109543,Q96LC9
D109543,P06746
D109543,P06127
D109543,Q99572
D109543,P01106
D109543,Q13342
D109543,O43908
D109543,Q9UHD0
D109543,P05231
D109543,P59901
D109543,P35354
D109543,Q9UKT9
D109543,Q15696
D109543,O14788
D109543,Q15306
D109543,Q9NUX5
D109543,Q06187
D109543,P24385
D109543,Q9NUZ1
D109543,P04637
D109543,Q16769
D109543,P42898
D109543,P11473
D109543,Q9Y6Q6
D109543,P62841
D109543,Q01130
D109543,P10415
D109543,Q01081
D109543,P02786
D109543,Q969Q4
D109543,Q9BZL6
D109543,Q13794
D109543,P43405
D109543,Q9BZB8
D109543,P41182
D109543,Q9P2W6
D109543,P15056
D109543,O00221
D109543,Q13489
D109543,Q13362
D109543,Q9UJU2
D109800,P06746
D109800,P43362
D109800,Q08397
D109800,P09211
D109800,P35354
D109800,P24593
D109800,P54764
D109800,O43708
D109800,P16662
D109800,P04179
D109800,P60568
D109800,P05019
D109800,P22303
D109800,Q96AC1
D109800,Q9NS23
D109800,P01563
D109800,P15144
D109800,P49721
D109800,P07203
D109800,Q13489
D109800,P06400
D109800,Q9BZK7
D109800,P13584
D109800,Q8IZ57
D109800,Q8IU99
D109800,Q00597
D109800,O95936
D109800,P35030
D109800,Q92692
D109800,Q9UH17
D109800,O15151
D109800,P04637
D109800,P25713
D109800,Q9H4Y5
D109800,Q92731
D109800,P48454
D109800,P11940
D109800,P11245
D109800,Q92820
D109800,P48431
D109800,Q9Y6A5
D109800,Q92560
D109800,Q13887
D109800,P18858
D109800,P15559
D109800,Q8TD08
D109800,P22607
D109800,P61371
D109800,P09919
D109800,P09104
D109800,Q96JB6
D109800,P01375
D109800,P17936
D109800,P42898
D109800,P14780
D109800,Q5JS13
D109800,P16035
D109800,P16435
D109800,P05164
D109800,Q96KA5
D109800,Q3ZCQ2
D109800,P09488
D109800,P19971
D109800,P02786
D109800,Q8NH09
D109800,P25445
D109800,P18440
D109800,O15327
D109800,P02795
D109800,P61586
D109800,Q96ID5
D109800,P08253
D109800,P01106
D109800,P01574
D109800,P41440
D109800,O15347
D109800,P24864
D109800,P18074
D109800,P82970
D109800,A6XGL0
D109800,P10145
D109800,P12830
D109800,P03372
D109800,P12931
D109800,P04731
D109800,Q9UKV5
D109800,P08779
D109800,P01112
D109800,Q8N726
D109800,Q92889
D109800,P31269
D109800,O43653
D109800,P38936
D109800,P01116
D109800,Q92482
D109800,Q8NER1
D109800,Q8N3Y1
D109800,Q9HBK9
D109800,P30049
D110100,P63261
D110100,P23759
D110100,P58012
D113610,P46776
D113610,P33897
D113610,Q99447
D113610,Q5TBB1
D113610,P51608
D113610,Q9Y5W7
D113800,Q9NTQ9
D113800,P04264
D113800,O75712
D113800,P13645
D113800,P18074
D114480,P46063
D114480,P10275
D114480,Q96N20
D114480,P55084
D114480,Q13131
D114480,P31941
D114480,Q9NR80
D114480,Q12805
D114480,O14493
D114480,O76070
D114480,Q16678
D114480,P11362
D114480,Q7Z4G4
D114480,Q93084
D114480,P54278
D114480,Q13480
D114480,P43355
D114480,Q7L1T6
D114480,Q9UHI8
D114480,Q01959
D114480,P35354
D114480,O43175
D114480,Q9H2R5
D114480,O95994
D114480,Q6P3W2
D114480,Q8TCB7
D114480,P25963
D114480,Q13002
D114480,P04179
D114480,Q93034
D114480,P04085
D114480,Q9NZC7
D114480,P49959
D114480,Q8WY54
D114480,P24530
D114480,Q8WYQ9
D114480,P48643
D114480,P22303
D114480,Q14019
D114480,P05549
D114480,Q9Y6N8
D114480,P50747
D114480,O15119
D114480,A6NEE1
D114480,P10599
D114480,Q9Y2R9
D114480,P35637
D114480,P13726
D114480,Q86UW8
D114480,O75072
D114480,Q9UGF7
D114480,Q6NUQ1
D114480,P19544
D114480,O43184
D114480,O95479
D114480,Q8TC71
D114480,P22460
D114480,P11309
D114480,P21145
D114480,P67809
D114480,Q14192
D114480,P55210
D114480,O15350
D114480,P04818
D114480,Q9UBC3
D114480,Q8N9I9
D114480,P28845
D114480,Q9GZU1
D114480,P60484
D114480,P35222
D114480,Q9NTX9
D114480,P13797
D114480,Q7Z5M8
D114480,Q8TDB6
D114480,P22888
D114480,P24385
D114480,Q8IYK4
D114480,O15151
D114480,Q96EF0
D114480,Q8N7W2
D114480,P56180
D114480,Q14240
D114480,P25713
D114480,P50281
D114480,Q16548
D114480,Q9UMF0
D114480,P47712
D114480,Q96EB6
D114480,P43246
D114480,P48061
D114480,O60237
D114480,Q7L2H7
D114480,P35249
D114480,O43543
D114480,O94907
D114480,Q01973
D114480,Q8N6Y1
D114480,Q9UJC3
D114480,P07741
D114480,P06401
D114480,Q15846
D114480,Q99527
D114480,Q96J42
D114480,P06729
D114480,Q5JTV8
D114480,P24534
D114480,P26927
D114480,P52429
D114480,Q9UBN4
D114480,P09919
D114480,Q16270
D114480,P50591
D114480,Q8WUI4
D114480,Q13948
D114480,Q9HCS4
D114480,O43823
D114480,Q9Y4K0
D114480,Q96GV9
D114480,O43502
D114480,O43347
D114480,Q9Y5F9
D114480,Q99489
D114480,O43542
D114480,P08473
D114480,Q7Z7M9
D114480,Q7Z628
D114480,Q9UJY5
D114480,Q60I27
D114480,Q9UHR6
D114480,Q9H8V3
D114480,Q9Y221
D114480,Q6UWZ7
D114480,P21964
D114480,Q5SZL2
D114480,Q9NPG8
D114480,O14757
D114480,Q9NWS8
D114480,Q6ZWJ1
D114480,Q69YU3
D114480,P49746
D114480,Q96PL1
D114480,Q86VP1
D114480,P15056
D114480,O43678
D114480,P52954
D114480,Q99728
D114480,Q15569
D114480,Q9BWX1
D114480,Q9NXL2
D114480,P08253
D114480,Q8NCR0
D114480,P25101
D114480,P35869
D114480,Q16877
D114480,P14859
D114480,Q13190
D114480,Q9UN86
D114480,Q6P1M3
D114480,Q9UNI1
D114480,Q96L08
D114480,P23219
D114480,Q14563
D114480,Q8N427
D114480,Q9NTW7
D114480,O75330
D114480,Q9UNQ0
D114480,Q86VS8
D114480,O43283
D114480,Q9NRM2
D114480,O14920
D114480,Q86Y82
D114480,Q9UKF6
D114480,Q02809
D114480,Q8NGS0
D114480,P61073
D114480,Q53FA7
D114480,Q14469
D114480,Q8N0U7
D114480,P10276
D114480,Q96MH7
D114480,O75489
D114480,P10145
D114480,P21802
D114480,P51114
D114480,Q9BQG1
D114480,Q5SY80
D114480,P09603
D114480,O00408
D114480,O15405
D114480,Q13952
D114480,O94956
D114480,Q86YD3
D114480,Q8IWU5
D114480,Q9H6R7
D114480,P81133
D114480,P01116
D114480,O15427
D114480,P08254
D114480,P10826
D114480,O00762
D114480,P10635
D114480,P15090
D114480,Q5T2W1
D114480,P01584
D114480,O14672
D114480,Q6NYC1
D114480,Q9H4K1
D114480,P82650
D114480,P06276
D114480,Q92698
D114480,Q14CZ7
D114480,Q6ZMY6
D114480,P52655
D114480,Q13445
D114480,P33402
D114480,P28336
D114480,P55010
D114480,Q9UJX4
D114480,P55317
D114480,O15269
D114480,Q99437
D114480,P24593
D114480,Q8WW24
D114480,Q96S52
D114480,Q86XE0
D114480,P32320
D114480,Q9UQ84
D114480,P02743
D114480,P04899
D114480,P98179
D114480,P17030
D114480,P10588
D114480,O15540
D114480,P04040
D114480,P11474
D114480,Q96GQ5
D114480,P23528
D114480,Q8NEM0
D114480,O95863
D114480,P05019
D114480,P47736
D114480,O15391
D114480,Q07075
D114480,P01563
D114480,Q13609
D114480,Q9UBP0
D114480,Q13153
D114480,P55042
D114480,O14944
D114480,P02746
D114480,Q9NWM0
D114480,O75340
D114480,P35240
D114480,Q5TGL8
D114480,P21980
D114480,P06400
D114480,P11310
D114480,Q0VDF9
D114480,Q8NFH8
D114480,P11387
D114480,P35659
D114480,Q8TEA1
D114480,O95259
D114480,O60934
D114480,O15530
D114480,Q00056
D114480,P16083
D114480,P17026
D114480,Q92692
D114480,O75554
D114480,P54760
D114480,P45985
D114480,Q9BRG2
D114480,Q8N136
D114480,Q9UH17
D114480,P60410
D114480,Q17RS7
D114480,P04637
D114480,P10589
D114480,P54646
D114480,Q96JP0
D114480,O00548
D114480,Q8IY85
D114480,O76061
D114480,Q9NQ87
D114480,Q2VPK5
D114480,Q5VZ66
D114480,P42224
D114480,Q13526
D114480,Q04771
D114480,P04424
D114480,Q86UE4
D114480,O15131
D114480,Q9Y3D9
D114480,Q70YC5
D114480,Q04671
D114480,O43897
D114480,Q9NR12
D114480,P49593
D114480,O14791
D114480,Q9UBY0
D114480,P17661
D114480,Q8NEY8
D114480,Q96A72
D114480,Q5T4D3
D114480,Q06609
D114480,Q9P2U8
D114480,Q8N3F8
D114480,Q07325
D114480,P56945
D114480,Q8IUC6
D114480,P23381
D114480,O60814
D114480,Q7Z6R9
D114480,P50416
D114480,P78381
D114480,Q9H1U9
D114480,P11245
D114480,Q9NRP0
D114480,P78318
D114480,Q8TBZ6
D114480,Q9NPQ8
D114480,Q96BT7
D114480,Q5H9T9
D114480,P02489
D114480,P30044
D114480,P10451
D114480,O15205
D114480,P62241
D114480,Q9NZ52
D114480,P17861
D114480,Q8TAP9
D114480,Q9Y2X9
D114480,P62805
D114480,P49406
D114480,P15514
D114480,O43805
D114480,O75771
D114480,Q8IUE6
D114480,P17987
D114480,Q8N328
D114480,P62701
D114480,O43663
D114480,Q07973
D114480,Q8N9V2
D114480,P30260
D114480,P54315
D114480,Q504Y0
D114480,P31277
D114480,Q04206
D114480,P14902
D114480,P67936
D114480,P01579
D114480,P62081
D114480,P84077
D114480,P15153
D114480,Q96Q35
D114480,Q96EY9
D114480,Q9Y256
D114480,P48048
D114480,O14817
D114480,Q9NP60
D114480,Q5T4W7
D114480,Q13523
D114480,Q9UIM3
D114480,P43268
D114480,P42773
D114480,P02786
D114480,O43272
D114480,P81408
D114480,Q6P4Q7
D114480,P61218
D114480,O15327
D114480,P21810
D114480,Q99712
D114480,Q6UXB0
D114480,P34972
D114480,P51946
D114480,P07333
D114480,P50583
D114480,Q5VTJ3
D114480,P18283
D114480,P05093
D114480,P28702
D114480,Q496Y0
D114480,Q02556
D114480,P14866
D114480,Q9HB58
D114480,P01574
D114480,P56537
D114480,Q9NRD0
D114480,P31751
D114480,P02533
D114480,Q9HBT6
D114480,P01100
D114480,P57103
D114480,O00591
D114480,Q9BYD2
D114480,Q8NFY9
D114480,O94892
D114480,P12830
D114480,P03372
D114480,Q8IVH2
D114480,Q7L7V1
D114480,P08670
D114480,O14733
D114480,Q07812
D114480,P12931
D114480,P35523
D114480,Q14765
D114480,Q9UBP5
D114480,P33151
D114480,Q9UKV5
D114480,Q8N726
D114480,P01112
D114480,P48169
D114480,P03956
D114480,Q92826
D114480,O60656
D114480,Q9BZS1
D114480,P24557
D114480,P05412
D114480,O75602
D114480,Q9NTK5
D114480,P35638
D114480,Q9NU02
D114480,Q86SE5
D114480,Q9NUT2
D114480,P05783
D114480,Q9C0F3
D114480,O00571
D114480,Q86V85
D114480,Q8N474
D114480,P46781
D114480,P09466
D114480,Q9H5I1
D114480,Q9Y5E8
D114480,P19447
D114480,P19875
D114480,Q9Y251
D114480,Q8N158
D114480,O15520
D114480,P21815
D114480,Q9UJV8
D114480,Q15906
D114480,O43504
D114480,P46527
D114480,P31749
D114480,Q9NRK6
D114480,Q96JA3
D114480,Q9Y5J3
D114480,O00337
D114480,P19022
D114480,Q9HC57
D114480,P16422
D114480,Q9Y6K1
D114480,O15315
D114480,Q7Z4V0
D114480,Q8NEQ6
D114480,O96017
D114480,Q9BT23
D114480,P06744
D114480,P11172
D114480,O95528
D114480,Q96SI9
D114480,P62807
D114480,Q9NP61
D114480,Q96MF7
D114480,Q92903
D114480,P19235
D114480,P61978
D114480,O00519
D114480,P33241
D114480,Q02161
D114480,Q99933
D114480,Q9UKP6
D114480,O14939
D114480,O43900
D114480,Q5SRI9
D114480,O95988
D114480,O95936
D114480,P05162
D114480,Q9BXR6
D114480,P58166
D114480,P22301
D114480,P78556
D114480,P34998
D114480,O00744
D114480,O43390
D114480,P35575
D114480,P10721
D114480,Q9Y281
D114480,Q9BYB4
D114480,Q16625
D114480,Q3LI63
D114480,Q9BYZ2
D114480,P48145
D114480,A8MVW5
D114480,Q16280
D114480,Q96HF1
D114480,Q8N6D2
D114480,Q5TEJ8
D114480,Q9UI08
D114480,P50225
D114480,P20827
D114480,Q9H165
D114480,Q96K58
D114480,P05120
D114480,P13647
D114480,Q86YW5
D114480,B2CW77
D114480,P19876
D114480,P11940
D114480,Q96P16
D114480,Q14526
D114480,P32302
D114480,Q96GM5
D114480,P19883
D114480,Q52LC2
D114480,Q15027
D114480,P00738
D114480,Q9Y5Y3
D114480,Q99798
D114480,P15036
D114480,Q14CX7
D114480,P12644
D114480,P20042
D114480,P59025
D114480,Q32MZ4
D114480,P13631
D114480,P25942
D114480,P36952
D114480,P16403
D114480,Q07955
D114480,O95167
D114480,P01375
D114480,O15303
D114480,P49619
D114480,P41220
D114480,P43358
D114480,P14207
D114480,Q15526
D114480,P08684
D114480,P48307
D114480,O75815
D114480,Q13951
D114480,P42898
D114480,Q9H813
D114480,P14780
D114480,Q13795
D114480,Q8N895
D114480,P10144
D114480,P16104
D114480,Q96RD6
D114480,Q96QU6
D114480,Q96KA5
D114480,P35052
D114480,Q9C0B1
D114480,O43365
D114480,P41159
D114480,Q08050
D114480,Q8IZ69
D114480,O43310
D114480,Q86UE3
D114480,O43186
D114480,Q13291
D114480,P09601
D114480,Q03135
D114480,P46937
D114480,Q96JM7
D114480,Q9BU23
D114480,Q9UJU2
D114480,Q7Z572
D114480,Q92911
D114480,P78410
D114480,Q5F1R6
D114480,Q6ZMV9
D114480,P15336
D114480,Q9BZ11
D114480,Q96T17
D114480,P35348
D114480,P04196
D114480,O43505
D114480,Q15181
D114480,P15172
D114480,P52565
D114480,Q8N2M8
D114480,P17482
D114480,P21397
D114480,P24864
D114480,Q92997
D114480,Q96AQ2
D114480,P10398
D114480,P51812
D114480,Q8WVT3
D114480,Q9UIF7
D114480,P11473
D114480,P27918
D114480,Q99946
D114480,Q6PID8
D114480,P06396
D114480,Q9Y253
D114480,Q92506
D114480,P04049
D114480,Q14134
D114480,Q92633
D114480,Q14956
D114480,Q96GP6
D114480,Q8N6D5
D114480,Q5MCW4
D114480,Q13206
D114480,Q8IU80
D114480,Q8NC60
D114480,P36969
D114480,Q96BI1
D114480,O95832
D114480,P11487
D114480,P40692
D114480,Q9NWU1
D114480,Q01546
D114480,Q8WWP7
D114480,Q8NEG4
D114480,P09211
D114480,Q13490
D114480,O00470
D114480,Q03154
D114480,Q9NV64
D114480,O43623
D114480,Q16352
D114480,Q07001
D114480,Q9NX61
D114480,P00374
D114480,P09874
D114480,Q13769
D114480,P62750
D114480,Q96PB8
D114480,Q9H0Y0
D114480,Q9NVA1
D114480,Q13433
D114480,Q9BY76
D114480,Q13361
D114480,P12272
D114480,Q969H0
D114480,Q9UNF1
D114480,Q7Z7A3
D114480,Q9H9T3
D114480,P06733
D114480,Q96T51
D114480,Q96JC1
D114480,Q7Z5U6
D114480,P16949
D114480,O00299
D114480,Q9NS71
D114480,Q9NR61
D114480,P55107
D114480,Q9NYV9
D114480,P0DMV9
D114480,Q96B67
D114480,P04798
D114480,Q96P31
D114480,Q3LI58
D114480,P23771
D114480,P08620
D114480,P05387
D114480,P52790
D114480,P07203
D114480,Q13003
D114480,Q9NRP2
D114480,Q9NZC9
D114480,Q96EP5
D114480,Q9HCI5
D114480,Q01094
D114480,Q02297
D114480,Q9UIU6
D114480,P11511
D114480,P41970
D114480,P51168
D114480,Q96BR1
D114480,Q9UKG1
D114480,P55056
D114480,P34896
D114480,Q92597
D114480,Q15828
D114480,Q8N428
D114480,P48378
D114480,Q6UXG2
D114480,Q7RTR0
D114480,Q14451
D114480,O15392
D114480,P0C025
D114480,Q06187
D114480,Q9Y606
D114480,O43240
D114480,P22307
D114480,P04233
D114480,Q14145
D114480,Q9Y3Q8
D114480,O75841
D114480,Q9Y4L5
D114480,P62899
D114480,Q14574
D114480,Q9NVX2
D114480,Q76G19
D114480,Q92731
D114480,P35232
D114480,O75152
D114480,Q96ND0
D114480,Q6UXV0
D114480,P62736
D114480,Q15025
D114480,P42229
D114480,Q8IZF3
D114480,P49765
D114480,O43818
D114480,Q13509
D114480,Q15910
D114480,Q9NTK1
D114480,Q494X3
D114480,P05787
D114480,O14668
D114480,P02771
D114480,Q9UM01
D114480,Q92844
D114480,Q92560
D114480,P40763
D114480,P15559
D114480,Q8TAX9
D114480,Q8IWW8
D114480,P01036
D114480,Q00987
D114480,P07900
D114480,Q9H3H5
D114480,P14174
D114480,Q9NP58
D114480,Q9UBF1
D114480,A6NED2
D114480,Q5T4F7
D114480,P07093
D114480,P11168
D114480,P48730
D114480,P51970
D114480,Q9NVP1
D114480,Q9BXS5
D114480,Q9BXB4
D114480,O15297
D114480,Q9NZL6
D114480,Q9Y345
D114480,Q9ULW8
D114480,Q16643
D114480,Q5T1V6
D114480,Q9UQC9
D114480,Q9BRK4
D114480,P11166
D114480,P55073
D114480,Q9BXY4
D114480,P13497
D114480,P17302
D114480,Q9Y6L6
D114480,P49767
D114480,Q86VI1
D114480,Q03014
D114480,Q9Y2W7
D114480,Q9HBX8
D114480,Q9NTM9
D114480,Q9C009
D114480,P07195
D114480,Q8IVL5
D114480,Q07021
D114480,Q9Y2Q9
D114480,P05231
D114480,P13639
D114480,P51398
D114480,Q9UJG1
D114480,P22087
D114480,P30518
D114480,Q9BYD1
D114480,Q3KNW5
D114480,Q5TH74
D114480,Q9NP99
D114480,Q96JB2
D114480,P09238
D114480,Q9UBS0
D114480,Q04726
D114480,Q96RD9
D114480,Q96S79
D114480,Q96LR4
D114480,P04075
D114480,P12643
D114480,Q8NBP5
D114480,P04141
D114480,Q9H204
D114480,Q16665
D114480,Q8WVY7
D114480,Q14790
D114480,P60891
D114480,P43487
D114480,O00461
D114480,Q08431
D114480,O94778
D114480,P10415
D114480,A2RTY3
D114480,Q8IVM8
D114480,Q6NZI2
D114480,P22732
D114480,Q13007
D114480,P62753
D114480,Q9BY67
D114480,Q8IWX7
D114480,Q9BT40
D114480,Q53EL6
D114480,O14965
D114480,Q8NC42
D114480,Q86U38
D114500,Q9BW66
D114500,Q8IW00
D114500,P78549
D114500,Q12805
D114500,P15531
D114500,Q16678
D114500,Q8N7J2
D114500,P16401
D114500,P34059
D114500,P54278
D114500,Q8N752
D114500,P35354
D114500,P15923
D114500,P04179
D114500,Q9NQB0
D114500,Q9H1Y0
D114500,Q9NV12
D114500,O95644
D114500,Q9Y2T1
D114500,Q9H9B4
D114500,Q8WY54
D114500,Q92187
D114500,Q496F6
D114500,Q6ZUT6
D114500,Q53GD3
D114500,Q9UBF9
D114500,Q86SS6
D114500,P22004
D114500,Q9UEF7
D114500,P37173
D114500,Q9BY21
D114500,Q8TC94
D114500,Q15293
D114500,Q9H6I2
D114500,P47898
D114500,P00156
D114500,Q9BX82
D114500,Q9NR82
D114500,Q86U70
D114500,P04818
D114500,Q6ZQR2
D114500,P08235
D114500,Q86X53
D114500,P60484
D114500,P35222
D114500,P49908
D114500,P24385
D114500,Q9Y4W2
D114500,Q92953
D114500,Q9GZY8
D114500,Q9UMF0
D114500,P50336
D114500,Q02156
D114500,Q96PU4
D114500,P22392
D114500,P00325
D114500,P43246
D114500,Q05513
D114500,P18887
D114500,Q8IWA4
D114500,P35900
D114500,O00341
D114500,Q9BWK5
D114500,Q04609
D114500,Q9BQT9
D114500,Q9BXS6
D114500,Q13137
D114500,O95677
D114500,Q15054
D114500,Q16445
D114500,Q8N475
D114500,O75934
D114500,Q9BTA9
D114500,P61221
D114500,Q13887
D114500,Q9GZP0
D114500,P30542
D114500,O15075
D114500,Q8N4B1
D114500,A8K979
D114500,Q7Z5B4
D114500,Q9NY72
D114500,P23508
D114500,P50591
D114500,P36543
D114500,Q9HCU0
D114500,O15198
D114500,Q9HBW1
D114500,Q13948
D114500,Q9Y228
D114500,Q9HAU8
D114500,Q16881
